fileName,attr0,attr1,attr2,attr3,attr4,attr5,attr6,attr7,attr8,attr9,attr10,attr11,attr12,attr13,attr14,attr15,attr16,attr17,attr18,attr19,attr20,attr21,attr22,attr23,attr24,attr25,attr26,attr27,attr28,attr29,attr30,attr31,attr32,attr33,attr34,attr35,attr36,attr37,attr38,attr39,attr40,attr41,attr42,attr43,attr44,attr45,attr46,attr47,attr48,attr49,attr50,attr51,attr52,attr53,attr54,attr55,attr56,attr57,attr58,attr59,attr60,attr61,attr62,attr63,attr64,attr65,attr66,attr67,attr68,attr69,attr70,attr71,attr72,attr73,attr74,attr75,attr76,attr77,attr78,attr79,attr80,attr81,attr82,attr83,attr84,attr85,attr86,attr87,attr88,attr89,attr90,attr91,attr92,attr93,attr94,attr95,attr96,attr97,attr98,attr99,attr100,attr101,attr102,attr103,attr104,attr105,attr106,attr107,attr108,attr109,attr110,attr111,attr112,attr113,attr114,attr115,attr116,attr117,attr118,attr119,attr120,attr121,attr122,attr123,attr124,attr125,attr126
20120625-R05-73XX.csv,1,1,36,5,5,5,1,5,1,1,1,5,5,13,1,5,9,1,39,1,12,1,1,1,1,39,11,36,1,1,5,1,1,1,5,1,4,1,1,5,1,1,1,1,1,1,1,11,11,11,11,11,12,12,12,12,13,36,1,36,36,1,36,36,1,40,1,40,142,1,198,1,247,1,247,1,415,9,1,1,1,1,5,1,5,1,5,1,5,1,5,1,5,4,4,1,5,1,5,1,5,1,5,1,5,1,1,5,1,1,5,1,1,5,1,1,11,1,47,1,41,1,41,1,41,1,41
20120729-R05-73XX.csv,1,1,43,9,5,37,1,9,1,1,1,5,37,13,1,11,455,1,33,1,13,1,1,1,1,17,21,15,1,1,11,1,1,1,5,1,6,1,1,5,1,1,1,1,1,1,1,7,7,9,7,7,15,17,13,13,13,43,1,43,13,1,15,15,1,17,1,17,17,1,13,1,15,1,13,1,9,455,1,1,1,1,9,1,9,1,9,1,37,1,37,1,43,4,4,1,11,1,51,1,51,1,51,1,51,1,1,43,1,1,43,1,1,69,1,1,23,1,39,1,37,1,39,1,37,1,35
20121210-R05-72XX.csv,364,8,1,1,1,1,252,1,5,335,362,1,1,1,252,1,1,251,1,55,1,57,4,5,335,1,1,1,16,251,1,55,353,175,1,8,1,8,325,1,327,335,335,361,362,362,361,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,364,364,362,353,1,351,1,346,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20121211-R05-72XX.csv,364,8,1,1,1,1,252,1,5,335,362,1,1,1,252,1,1,251,1,55,1,57,4,5,335,1,1,1,16,251,1,55,353,175,1,8,1,8,325,1,327,335,335,361,362,362,361,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,364,364,362,353,1,351,1,346,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20121212-R05-72XX.csv,362,8,1,1,1,1,252,1,5,333,364,1,1,1,252,1,1,251,1,55,1,57,4,5,333,1,1,1,16,251,1,55,355,175,1,8,1,8,325,1,325,333,333,359,360,360,359,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,362,362,364,355,1,353,1,348,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20121217-R05-72XX.csv,353,8,1,1,1,1,252,1,5,327,355,1,1,1,252,1,1,251,1,55,1,57,4,5,327,1,1,1,16,251,1,55,363,175,1,8,1,8,325,1,325,327,327,353,353,353,353,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,353,353,355,363,1,361,1,348,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20121217-R05-73XX.csv,1,1,11,564,10,172,1,582,1,1,1,10,160,27,1,53,9,1,5,1,21,1,1,1,1,13,32,11,1,1,53,1,1,1,10,1,4,1,1,167,1,1,1,1,1,1,1,15,29,33,37,35,29,33,31,21,27,11,1,13,9,1,9,11,1,9,1,13,13,1,7,1,7,1,7,1,5,9,1,1,1,1,582,1,582,1,564,1,172,1,160,1,122,4,4,1,53,1,122,1,122,1,122,1,122,1,1,120,1,1,120,1,1,120,1,1,32,1,5,1,5,1,5,1,5,1,5
20121218-R05-72XX.csv,351,8,1,1,1,1,252,1,5,325,353,1,1,1,252,1,1,251,1,55,1,57,4,5,325,1,1,1,16,251,1,55,361,175,1,8,1,8,323,1,323,325,325,351,351,351,351,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,351,351,353,361,1,361,1,348,1,175,1,252,1,253,1,1,1,8,1,252,1,252,1,252,1,252,1,5,251,1,5,251,1,5,251,1,251,66,1,63,1,62,1,62,1,62,1,62,1
20121218-R05-73XX.csv,1,1,11,568,10,172,1,590,1,1,1,10,160,27,1,53,9,1,5,1,21,1,1,1,1,13,32,11,1,1,53,1,1,1,10,1,4,1,1,167,1,1,1,1,1,1,1,15,29,33,37,35,29,33,31,21,27,11,1,13,9,1,9,11,1,9,1,13,13,1,7,1,7,1,7,1,5,9,1,1,1,1,582,1,590,1,568,1,172,1,160,1,122,4,4,1,53,1,124,1,126,1,126,1,126,1,1,120,1,1,120,1,1,122,1,1,32,1,5,1,5,1,5,1,5,1,5
20121220-R05-72XX.csv,346,8,1,1,1,1,251,1,5,321,348,1,1,1,251,1,1,251,1,55,1,57,4,5,321,1,1,1,16,251,1,55,348,175,1,8,1,8,321,1,321,321,321,346,346,346,346,1,1,1,1,1,1,1,1,1,1,1,16,1,1,16,1,1,38,1,38,1,1,7,1,12,1,4,1,18,1,1,346,346,348,348,1,348,1,356,1,175,1,252,1,252,1,1,1,8,1,251,1,251,1,251,1,251,1,5,251,1,5,251,1,5,251,1,251,65,1,62,1,62,1,62,1,62,1,62,1
